Year,Month,Country,City,SH4 Code,SH4 Description,SH2 Code,SH2 Description,Economic Block,US$ FOB,Net Weight
2014,1,Afghanistan,Cubatão - SP,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),30606,21458
2014,1,Afghanistan,Itajaí - SC,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),226279,155697
2014,1,Afghanistan,Montenegro - RS,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),243053,183724
2014,1,Afghanistan,Paranaguá - PR,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),338113,232985
2014,1,Afghanistan,Rio Grande - RS,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),196860,132996
2015,1,Afghanistan,Itajaí - SC,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),28170,21519
2015,1,Afghanistan,Paranaguá - PR,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),237821,175517
2016,1,Afghanistan,Caarapó - MS,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),51739,46061
2016,1,Afghanistan,Cubatão - SP,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),50012,49738
2016,1,Afghanistan,Itajaí - SC,207,"Meat and edible offal, of the poultry of heading No 0105, fresh, chilled or frozen",2,Meat and edible meat offal,Asia (minus MIDDLE EAST),32152,25118
